num_cicloe,nombre_estacion,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e
1,Río Sena_Río Balsas,Río Sena,Río Balsas,Cuauhtemoc,Cuauhtemoc,19.4335895,-99.1678193,Arroyo
2,Río Guadalquivir_Río Nazas,Río Guadalquivir,Río Nazas,Cuauhtemoc,Cuauhtemoc,19.43062276,-99.17123066,Arroyo
3,Reforma_Insurgentes,Reforma,Insurgentes,Tabacalera,Cuauhtemoc,19.43163,-99.158547,Banqueta
4,Río Nilo_Río Panuco,Río Nilo,Río Panuco,Cuauhtemoc,Cuauhtemoc,19.428491,-99.171693,Arroyo
5,Río Pánuco _Río Tiber,Río Pánuco ,Río Tiber,Cuauhtemoc,Cuauhtemoc,19.429804,-99.169451,Arroyo
6,Río Pánuco_Río Sena,Río Pánuco,Río Sena,Cuauhtemoc,Cuauhtemoc,19.430963,-99.166986,Arroyo
7,Río Elba_Río Lerma,Río Elba,Río Lerma,Cuauhtemoc,Cuauhtemoc,19.425355,-99.17515,Arroyo
8,Reforma_General Prim,Reforma,General Prim,Tabacalera,Cuauhtemoc,19.431256,-99.158153,Banqueta
9,Río Guadalquivir_Río Lerma,Río Guadalquivir,Río Lerma,Cuauhtemoc,Cuauhtemoc,19.428184,-99.170013,Arroyo
10,Reforma_Ramírez,Reforma,Ramírez,Tabacalera,Cuauhtemoc,19.433431,-99.155142,Banqueta
11,Río Amazonas_Río Lerma,Río Amazonas,Río Lerma,Cuauhtemoc,Cuauhtemoc,19.431192,-99.163546,Arroyo
12,Río Lerma_Villalongín,Río Lerma,Villalongín,Cuauhtemoc,Cuauhtemoc,19.432223,-99.161686,Arroyo
13,Reforma_Río Mississippi,Reforma,Río Mississippi,Cuauhtemoc,Cuauhtemoc,19.424941,-99.17233,Banqueta
14,Reforma_Río De Plata,Reforma,Río De Plata,Cuauhtemoc,Cuauhtemoc,19.42454,-99.173247,Banqueta
15,Reforma_Río Mississippi,Reforma,Río Mississippi,Cuauhtemoc,Cuauhtemoc,19.425597,-99.171409,Banqueta
16,Reforma_Río Tiber,Reforma,Río Tiber,Cuauhtemoc,Cuauhtemoc,19.4267528,-99.16861944,Banqueta
17,Reforma_Río Tiber,Reforma,Río Tiber,Cuauhtemoc,Cuauhtemoc,19.427553,-99.167396,Banqueta
18,Reforma_Río Rhin,Reforma,Río Rhin,Cuauhtemoc,Cuauhtemoc,19.428802,-99.164381,Banqueta
19,Reforma_Río Rhin,Reforma,Río Rhin,Cuauhtemoc,Cuauhtemoc,19.429453,-99.16283,Banqueta
20,Reforma_Río Támesis,Reforma,Río Támesis,Cuauhtemoc,Cuauhtemoc,19.430907,-99.160148,Banqueta
21,Reforma_Dublín,Reforma,Dublín,Juarez,Cuauhtemoc,19.424784,-99.172119,Banqueta
22,Reforma_Manchester,Reforma,Manchester,Juarez,Cuauhtemoc,19.424784,-99.172119,Banqueta
23,Reforma_Praga,Reforma,Praga,Juarez,Cuauhtemoc,19.42528,-99.171099,Banqueta
24,Reforma_Varsovia,Reforma,Varsovia,Juarez,Cuauhtemoc,19.426614,-99.168078,Banqueta
25,Reforma_Estocolmo,Reforma,Estocolmo,Juarez,Cuauhtemoc,19.427338,-99.16672,Banqueta
26,Reforma_Versalles,Reforma,Versalles,Juarez,Cuauhtemoc,19.432595,-99.154995,Banqueta
27,Reforma_Havre,Reforma,Havre,Juarez,Cuauhtemoc,19.42916,-99.162703,Banqueta
28,Toledo_Tokio,Toledo,Tokio,Juarez,Cuauhtemoc,19.423664,-99.172568,Arroyo
