Prefix,num_cicloe,calle_prin,calle_secu
CE,1,RÍO SENA,RÍO BALSAS
CE,2,RÍO GUADALQUIVIR,RÍO NAZAS
CE,3,REFORMA,INSURGENTES
CE,4,RÍO NILO,RÍO PANUCO
CE,5,RÍO PÁNUCO ,RÍO TIBER
CE,6,RÍO PÁNUCO,RÍO SENA
CE,7,RÍO ELBA,RÍO LERMA
CE,8,REFORMA,GENERAL PRIM
CE,9,RÍO GUADALQUIVIR,RÍO LERMA
CE,10,REFORMA,RAMÍREZ
CE,11,RÍO AMAZONAS,RÍO LERMA
CE,12,RÍO LERMA,VILLALONGÍN
CE,13,REFORMA,RÍO MISSISSIPPI
CE,14,REFORMA,RÍO DE PLATA
CE,15,REFORMA,RÍO MISSISSIPPI
CE,16,REFORMA,RÍO TIBER
CE,17,REFORMA,RÍO TIBER
CE,18,REFORMA,RÍO RHIN
CE,19,REFORMA,RÍO RHIN
CE,20,REFORMA,RÍO TÁMESIS
CE,21,REFORMA,DUBLÍN
CE,22,REFORMA,MANCHESTER
CE,23,REFORMA,PRAGA
CE,24,REFORMA,VARSOVIA
CE,25,REFORMA,ESTOCOLMO
CE,26,REFORMA,VERSALLES
CE,27,REFORMA,HAVRE
CE,28,TOLEDO,TOKIO
CE,29,REFORMA,BUCARELI
CE,30,HAMBURGO,AMBERES
CE,31,HAMBURGO,INSURGENTES
CE,32,LONDRES,SEVILLA
CE,33,LONDRES,FLORENCIA
CE,34,LIVERPOOL,GÉNOVA
CE,35,LIVERPOOL,GÉNOVA
CE,36,PUEBLA,VERACRUZ
CE,37,GUADALAJARA,PUEBLA
CE,38,COZUMEL,PUEBLA
CE,39,PUEBLA,MEDELLÍN
CE,40,OAXACA,PUEBLA
CE,41,REFORMA,AV. DE LA REPÚBLICA
CE,42,SINALOA,VALLADOLID
CE,43,REVILLAGIGEDO,JUÁREZ
CE,44,DURANGO,VERACRUZ
CE,45,DURANGO,SONORA
CE,46,DURANGO,SALAMANCA
CE,47,PLAZA MADRID,MEDELLÍN
CE,48,INDEPENDENCIA,AZUETA
CE,49,MAZATLÁN,JUAN DE LA BARRERA
CE,50,CUERNAVACA,VERACRUZ
CE,51,COLIMA,OAXACA
CE,52,HIDALGO,TRUJANO
CE,53,FERNANDO MONTES DE OCA,TULA
CE,54,PARQUE ESPAÑA,SONORA
CE,55,5 DE MAYO,BOLÍVAR
CE,56,ALVARO OBREGÓN,MEDELLIN
CE,57,CUERNAVACA,JUAN ESCUTIA
CE,58,PARQUE ESPAÑA,JUAN DE LA BARRERA
CE,59,POPOCATÉPETL,ÁMSTERDAM
CE,60,MAZATLÁN,FERNANDO MONTES DE OCA
CE,61,AVENIDA MÉXICO,SONORA
