sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,423,Moras,Eje 8 Sur Jose Maria Rico,Acacias,Benito Juarez,19.367816,-99.175269,Arroyo,Instalada
Ecobici,437,Moras,Comunal,Acacias,Benito Juarez,19.364916,-99.175985,Arroyo,Instalada
Ecobici,438,Adolfo Prieto,Jose Maria Olloqui,Acacias,Benito Juarez,19.36473,-99.174447,Arroyo,Instalada
Ecobici,439,Amores,Avenida Coyoacan,Acacias,Benito Juarez,19.362037,-99.172683,Arroyo,Instalada
Ecobici,440,Martin Mendalde,M. Lopez Cotilla,Acacias,Benito Juarez,19.361699,-99.171387,Arroyo,Instalada
Ecobici,415,San Francisco,Parroquia,Actipan,Benito Juarez,19.37099,-99.176135,Arroyo,Instalada
Ecobici,420,Maria Luz Bringas,Oso,Actipan,Benito Juarez,19.369782,-99.179707,Arroyo,Instalada
Ecobici,421,Maria Luz Bringas,Oso,Actipan,Benito Juarez,19.36952,-99.179421,Arroyo,Instalada
Ecobici,422,Bufalo,Eje 8 Sur Jose Maria Rico,Actipan,Benito Juarez,19.368403,-99.177472,Arroyo,Instalada
Ecobici,436,Rodriguez Saro,Bufalo,Actipan,Benito Juarez,19.36623,-99.177904,Arroyo,Instalada
Ecobici,390-391,Oso,Felix Cuevas,Actipan,Benito Juarez,19.373384,-99.178173,Arroyo,Instalada
Ecobici,686,Avenida Vito Alessio Robles,Av. Universidad,Agricola,Alvaro Obregon,19.352203,-99.178393,Arroyo,Instalada
Ecobici,495,Amado Nervo,Avenida de los Maestros,Agricultura,Miguel Hidalgo,19.445528,-99.166934,Arroyo,Instalada
Ecobici,499,Avenida de los Maestros,Calzada de los Gallos,Agricultura,Miguel Hidalgo,19.455986,-99.165966,Arroyo,Instalada
Ecobici,588,Avenida Fernando,La Coru<f1>a,Alamos,Benito Juarez,19.401239,-99.137404,Arroyo,Instalada
Ecobici,589,Cadiz,Calzada de Tlalpan,Alamos,Benito Juarez,19.39859,-99.137732,Arroyo,Instalada
Ecobici,590,Avenida Fernando,Isabel la Catolica,Alamos,Benito Juarez,19.399172,-99.140625,Arroyo,Instalada
Ecobici,591,Simon Bolivar,La Coru<f1>a,Alamos,Benito Juarez,19.402088,-99.142976,Arroyo,Instalada
Ecobici,592,Cadiz,Eje Central Lazaro Cardenas,Alamos,Benito Juarez,19.399664,-99.145136,Arroyo,Instalada
Ecobici,601,Navarra,Av. Fernando,Alamos,Benito Juarez,19.395812,-99.145347,Arroyo,Instalada
Ecobici,603,Castilla,Eje 4 Sur Xola,Alamos,Benito Juarez,19.394422,-99.143291,Arroyo,Instalada
Ecobici,605,5 de Febrero,Alfonso XIII,Alamos,Benito Juarez,19.39516,-99.139532,Arroyo,Instalada
Ecobici,606,Alfonso XIII,Aragon,Alamos,Benito Juarez,19.39489,-99.1389,Arroyo,Instalada
Ecobici,584,Enrique Granados,Jose Peon Contreras (Eje 3),Algarin,Cuauhtemoc,19.40697,-99.14383,Arroyo,Instalada
Ecobici,585,Jose Toribio Medina,Manuel Navarrete,Algarin,Cuauhtemoc,19.405358,-99.14316,Arroyo,Instalada
Ecobici,586,Bernardo Couto,Juan E. Hernandez y Davalos,Algarin,Cuauhtemoc,19.406458,-99.138735,Arroyo,Instalada
Ecobici,587,Jose Toribio Medina,Marcelino Davalos,Algarin,Cuauhtemoc,19.404654,-99.136966,Arroyo,Instalada
Ecobici,609,Romero,Calzada de Tlalpan,Americas Unidas,Benito Juarez,19.384623,-99.139817,Arroyo,Instalada
Ecobici,620,Fernando Montes de Oca,Priv. Lago,Americas Unidas,Benito Juarez,19.381804,-99.142997,Arroyo,Instalada
Ecobici,621,Lago Poniente,Calzada de Tlalpan,Americas Unidas,Benito Juarez,19.379458,-99.140943,Arroyo,Instalada
Ecobici,197,Presa Falcon,Blvd. Miguel de Cervantes Saavedra,Ampliacion Granada,Miguel Hidalgo,19.440501,-99.205086,Arroyo,Instalada
Ecobici,463,Lago Andromaco,Lago Zurich,Ampliacion Granada,Miguel Hidalgo,19.443228,-99.202492,Arroyo,Instalada
Ecobici,464,Mateo Aleman,Prolongacion Moliere,Ampliacion Granada,Miguel Hidalgo,19.442421,-99.199838,Arroyo,Instalada
Ecobici,326,Eugenia,Nebraska,Ampliacion Napoles,Benito Juarez,19.388978,-99.174811,Arroyo,Instalada
Ecobici,333,Georgia,Carolina,Ampliacion Napoles,Benito Juarez,19.387624,-99.180978,Arroyo,Instalada
Ecobici,334,Nueva York,Av. Insurgentes,Ampliacion Napoles,Benito Juarez,19.3865269,-99.1751519,Arroyo,Instalada
