Prefix,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ce,1,Río Sena,Río Balsas,Cuauhtemoc,Cuauhtemoc,19.4335895,-99.1678193,Arroyo,Instalada
Ce,2,Río Guadalquivir,Río Nazas,Cuauhtemoc,Cuauhtemoc,19.43062276,-99.17123066,Arroyo,Instalada
Ce,3,Reforma,Insurgentes,Tabacalera,Cuauhtemoc,19.43163,-99.158547,Banqueta,Instalada
Ce,4,Río Nilo,Río Panuco,Cuauhtemoc,Cuauhtemoc,19.428491,-99.171693,Arroyo,Instalada
Ce,5,Río Pánuco ,Río Tiber,Cuauhtemoc,Cuauhtemoc,19.429804,-99.169451,Arroyo,Instalada
Ce,6,Río Pánuco,Río Sena,Cuauhtemoc,Cuauhtemoc,19.430963,-99.166986,Arroyo,Instalada
Ce,7,Río Elba,Río Lerma,Cuauhtemoc,Cuauhtemoc,19.425355,-99.17515,Arroyo,Instalada
Ce,8,Reforma,General Prim,Tabacalera,Cuauhtemoc,19.431256,-99.158153,Banqueta,Instalada
Ce,9,Río Guadalquivir,Río Lerma,Cuauhtemoc,Cuauhtemoc,19.428184,-99.170013,Arroyo,Instalada
Ce,10,Reforma,Ramírez,Tabacalera,Cuauhtemoc,19.433431,-99.155142,Banqueta,Instalada
Ce,11,Río Amazonas,Río Lerma,Cuauhtemoc,Cuauhtemoc,19.431192,-99.163546,Arroyo,Instalada
Ce,12,Río Lerma,Villalongín,Cuauhtemoc,Cuauhtemoc,19.432223,-99.161686,Arroyo,Instalada
Ce,13,Reforma,Río Mississippi,Cuauhtemoc,Cuauhtemoc,19.424941,-99.17233,Banqueta,Instalada
Ce,14,Reforma,Río De Plata,Cuauhtemoc,Cuauhtemoc,19.42454,-99.173247,Banqueta,Instalada
Ce,15,Reforma,Río Mississippi,Cuauhtemoc,Cuauhtemoc,19.425597,-99.171409,Banqueta,Instalada
Ce,16,Reforma,Río Tiber,Cuauhtemoc,Cuauhtemoc,19.4267528,-99.16861944,Banqueta,Instalada
Ce,17,Reforma,Río Tiber,Cuauhtemoc,Cuauhtemoc,19.427553,-99.167396,Banqueta,Instalada
Ce,18,Reforma,Río Rhin,Cuauhtemoc,Cuauhtemoc,19.428802,-99.164381,Banqueta,Instalada
Ce,19,Reforma,Río Rhin,Cuauhtemoc,Cuauhtemoc,19.429453,-99.16283,Banqueta,Instalada
Ce,20,Reforma,Río Támesis,Cuauhtemoc,Cuauhtemoc,19.430907,-99.160148,Banqueta,Instalada
Ce,21,Reforma,Dublín,Juarez,Cuauhtemoc,19.424784,-99.172119,Banqueta,Instalada
Ce,22,Reforma,Manchester,Juarez,Cuauhtemoc,19.424784,-99.172119,Banqueta,Instalada
Ce,23,Reforma,Praga,Juarez,Cuauhtemoc,19.42528,-99.171099,Banqueta,Instalada
Ce,24,Reforma,Varsovia,Juarez,Cuauhtemoc,19.426614,-99.168078,Banqueta,Instalada
